10um bubble,,duplicate,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
432.0026245,0.2774856687,432.0026245,0.2766426206,
431.5019836,0.2773028016,431.5019836,0.2774289846,
431.0012817,0.2773788869,431.0012817,0.2780419588,
430.5006104,0.2784256637,430.5006104,0.2786634564,
429.9998779,0.2783282995,429.9998779,0.2771126032,
429.4990845,0.2780596316,429.4990845,0.277233094,
428.99823,0.2787935138,428.99823,0.2781945765,
428.497345,0.2772462368,428.497345,0.2787872851,
427.9963989,0.2782481313,427.9963989,0.2783825994,
427.4953918,0.2782666385,427.4953918,0.2779380977,
426.9943848,0.2781042755,426.9943848,0.2782769799,
426.4933167,0.2793131471,426.4933167,0.2790835202,
425.992218,0.2781178653,425.992218,0.2788291872,
425.4911194,0.2786787748,425.4911194,0.2783741951,
424.9898987,0.2783187628,424.9898987,0.2784936428,
424.4886475,0.2791040242,424.4886475,0.2791857421,
423.9873657,0.281193316,423.9873657,0.2796359956,
423.4860535,0.2805531919,423.4860535,0.2791640759,
422.9847107,0.2792352736,422.9847107,0.279479593,
422.4833374,0.2791627347,422.4833374,0.2781738043,
421.9818726,0.2786244452,421.9818726,0.2794055045,
421.5189819,0.2803812027,421.5189819,0.2775967717,
421.017395,0.2807681262,421.017395,0.2783889472,
420.5158081,0.2803254724,420.5158081,0.2785556614,
420.0142212,0.2792728841,420.0142212,0.2794588208,
419.5125732,0.2796995342,419.5125732,0.2789846659,
419.0108643,0.2800652087,419.0108643,0.2796325088,
418.5091248,0.2800317109,418.5091248,0.2803130448,
418.0073242,0.2801400721,418.0073242,0.2800442874,
417.5054932,0.2802097797,417.5054932,0.2801790833,
417.0036316,0.2802934945,417.0036316,0.2805753648,
416.5016785,0.2802952528,416.5016785,0.2805537283,
415.9997559,0.280195266,415.9997559,0.2802030146,
415.4977417,0.27996099,415.4977417,0.2808608711,
414.995697,0.2821033001,414.995697,0.2805379331,
414.4936218,0.2803971469,414.4936218,0.2820171714,
413.9914551,0.2821027339,413.9914551,0.2803657949,
413.4892883,0.2815885842,413.4892883,0.2816312611,
412.9871216,0.2814543247,412.9871216,0.2814643085,
412.4848633,0.2817367315,412.4848633,0.2818185091,
411.9825745,0.281847775,411.9825745,0.2820100486,
411.5188599,0.2821195126,411.5188599,0.2816930115,
411.01651,0.2833787501,411.01651,0.2828163207,
410.5140991,0.2821498215,410.5140991,0.281797111,
410.0116272,0.2829925716,410.0116272,0.2830329537,
409.5090637,0.2826625705,409.5090637,0.2821689546,
409.0065613,0.2822156549,409.0065613,0.282187134,
408.5039368,0.2827700675,408.5039368,0.2818487287,
408.0013428,0.2828205526,408.0013428,0.2821726501,
407.4986877,0.2823985219,407.4986877,0.2821824253,
406.9959717,0.2830459476,406.9959717,0.2815432549,
406.4932251,0.2820227444,406.4932251,0.2825358212,
405.990448,0.2824566662,405.990448,0.2827148139,
