1mm full,,1mm full2,,discard,,1mm vapor,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
499.9981689,0.04140864685,499.9981689,0.04155572131,499.9981689,0.04144763201,499.9981689,0.1048548743,
499.5040283,0.04145472124,499.5040283,0.04150445014,499.5040283,0.04135676846,499.5040283,0.1048909873,
499.0098877,0.04138985276,499.0098877,0.04142035171,499.0098877,0.04126469791,499.0098877,0.1048155576,
498.515625,0.04136425629,498.515625,0.04125743732,498.515625,0.04123028368,498.515625,0.1047339439,
497.9832764,0.04123654589,497.9832764,0.04113479704,497.9832764,0.04110039398,497.9832764,0.1045909151,
497.4889221,0.04110050574,497.4889221,0.04111780971,497.4889221,0.0409951508,497.4889221,0.1045027226,
496.9945679,0.04123011231,496.9945679,0.04114210978,496.9945679,0.04106727242,496.9945679,0.1045519263,
496.5000916,0.04123241827,496.5000916,0.04110798985,496.5000916,0.04093743116,496.5000916,0.104552947,
496.0056458,0.0409976542,496.0056458,0.04095700383,496.0056458,0.04082346708,496.0056458,0.1044536009,
495.5110779,0.04080279544,495.5110779,0.04081127048,495.5110779,0.04067524895,495.5110779,0.1043856815,
495.0164185,0.04060896114,495.0164185,0.0404981263,495.0164185,0.04050273076,495.0164185,0.1043549404,
494.4837952,0.0405334495,494.4837952,0.04037285969,494.4837952,0.04027384147,494.4837952,0.1040119454,
493.9891052,0.04019537568,493.9891052,0.0401846692,493.9891052,0.04001836106,493.9891052,0.1042161137,
493.4943542,0.03989232332,493.4943542,0.03983872384,493.4943542,0.03970740363,493.4943542,0.1038925722,
492.9995117,0.03980317339,492.9995117,0.03978450596,492.9995117,0.03961656243,492.9995117,0.1038966477,
492.5046997,0.03988840804,492.5046997,0.03974445164,492.5046997,0.03972955793,492.5046997,0.1038062647,
492.0097656,0.04000067711,492.0097656,0.0399406217,492.0097656,0.03985415772,492.0097656,0.1037487686,
491.5148621,0.04024291039,491.5148621,0.04005917907,491.5148621,0.03994482011,491.5148621,0.103538774,
490.9817505,0.03978910297,490.9817505,0.03979216516,490.9817505,0.03965983912,490.9817505,0.1034437343,
490.4866638,0.0393926762,490.4866638,0.03936934844,490.4866638,0.0394487977,490.4866638,0.1030199677,
489.9915466,0.03925216943,489.9915466,0.03918292373,489.9915466,0.0391186215,489.9915466,0.1034150571,
489.4964294,0.03919941559,489.4964294,0.03901807591,489.4964294,0.03895781562,489.4964294,0.10313458,
489.0012207,0.03903654218,489.0012207,0.0389334932,489.0012207,0.03886039555,489.0012207,0.1029652059,
488.5058899,0.03900032118,488.5058899,0.03891231492,488.5058899,0.03893488273,488.5058899,0.1028335541,
