s1,,s1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,
799.9871826,0.0312772654,799.9871826,0.03008996136,
799.0130615,0.03151540458,799.0130615,0.03109008446,
798.0036621,0.03164827824,798.0036621,0.03112706915,
796.9938965,0.03152757138,796.9938965,0.03157199547,
795.9837036,0.03235795721,795.9837036,0.03204864636,
795.0079956,0.03268967941,795.0079956,0.0327986218,
793.9970093,0.03261030838,793.9970093,0.03331661597,
792.9855347,0.03359198198,792.9855347,0.03182859719,
792.008728,0.03239323944,792.008728,0.03297017515,
790.996582,0.03290066868,790.996582,0.03321229294,
789.9839478,0.03131379187,789.9839478,0.032109797,
789.0058594,0.03156821057,789.0058594,0.03201933205,
787.9926147,0.03148159012,787.9926147,0.03118096665,
787.0137329,0.03014997393,787.0137329,0.03081513196,
785.9995728,0.02957657352,785.9995728,0.03080860153,
784.9850464,0.02992123365,784.9850464,0.02989727259,
784.005188,0.03010888211,784.005188,0.03046451509,
782.9898071,0.02938691154,782.9898071,0.03002019227,
782.0091553,0.02977546863,782.0091553,0.02964200266,
780.993042,0.03100350127,780.993042,0.02957322076,
780.0115967,0.03042531013,780.0115967,0.03019767255,
778.9946899,0.03023011424,778.9946899,0.03147243336,
778.0125122,0.03131357208,778.0125122,0.03149088472,
776.994812,0.03219450638,776.994812,0.03140764311,
776.0119019,0.03151159361,776.0119019,0.0312145669,
774.9934692,0.03098098375,774.9934692,0.03090406768,
774.0098267,0.03127351031,774.0098267,0.03067715093,
772.9906616,0.03005095571,772.9906616,0.03072715923,
772.0061646,0.02913346328,772.0061646,0.02919511497,
770.9862061,0.02913833596,770.9862061,0.02890752628,
770.0010376,0.02929155715,770.0010376,0.02824309841,
769.0155029,0.02865833975,769.0155029,0.02764125541,
767.9943848,0.02730079927,767.9943848,0.02797394618,
767.0081177,0.02717316151,767.0081177,0.02806589007,
765.9862671,0.02786095999,765.9862671,0.02728483826,
764.9992065,0.02748773247,764.9992065,0.02857132815,
764.0118408,0.02807563916,764.0118408,0.02829702571,
762.9888306,0.02826412208,762.9888306,0.02793584764,
762.0006714,0.02780035138,762.0006714,0.02812675573,
761.012207,0.02804981917,761.012207,0.02837889828,
759.9880981,0.02883368731,759.9880981,0.02911779657,
758.9989014,0.02773611061,758.9989014,0.02817445435,
758.0093994,0.02714869194,758.0093994,0.02755044959,
756.9841309,0.02741416357,756.9841309,0.02701972239,
755.9938354,0.02675143629,755.9938354,0.02721450105,
755.0031738,0.02588714845,755.0031738,0.02611550502,
754.012146,0.02425885201,754.012146,0.024723785,
752.9854126,0.02386628091,752.9854126,0.02388550714,
751.9936523,0.02404386178,751.9936523,0.02340264618,
751.0015869,0.02297569253,751.0015869,0.02347829938,
750.0091553,0.02332984656,750.0091553,0.02361302637,
749.0164185,0.02371528931,749.0164185,0.02332293615,
747.9877319,0.02316874638,747.9877319,0.02384563349,
746.9942627,0.02391255647,746.9942627,0.02304073609,
746.0004272,0.0237126369,746.0004272,0.02357309498,
745.0061646,0.0235656891,745.0061646,0.02344704047,
744.0116577,0.02391912043,744.0116577,0.02323933505,
743.0166626,0.02220991999,743.0166626,0.02297135442,
741.9859009,0.02152330801,741.9859009,0.0206012968,
740.9902344,0.02088077553,740.9902344,0.02072023042,
739.9942627,0.01957502216,739.9942627,0.02025318705,
738.9979858,0.01867448166,738.9979858,0.01832926087,
738.0012817,0.0177174788,738.0012817,0.01807438396,
737.0042725,0.01757362299,737.0042725,0.01690447144,
736.0068359,0.01719439775,736.0068359,0.01707976684,
735.0091553,0.01659894921,735.0091553,0.01624806412,
734.0111084,0.01639328338,734.0111084,0.01639613137,
733.0126953,0.01656944677,733.0126953,0.01612272114,
732.013916,0.01667229645,732.013916,0.01644293591,
731.0147705,0.01663800329,731.0147705,0.01690657064,
730.0153809,0.01687147655,730.0153809,0.01666581444,
729.0155029,0.0162702892,729.0155029,0.01570951939,
728.0153198,0.01613628864,728.0153198,0.01605800912,
727.0148926,0.01551680081,727.0148926,0.01527858339,
726.0140991,0.01492680795,726.0140991,0.01453727856,
725.0129395,0.01446169429,725.0129395,0.01428723801,
724.0114136,0.01349867228,724.0114136,0.01411846746,
723.0095215,0.013929368,723.0095215,0.01394781098,
722.0073242,0.01397745684,722.0073242,0.01363180764,
721.0048218,0.01418195665,721.0048218,0.01450550649,
720.0019531,0.01482951269,720.0019531,0.01462958101,
718.9987793,0.01592732221,718.9987793,0.0153603442,
717.9951172,0.01583280973,717.9951172,0.01633514091,
716.9912109,0.01689731143,716.9912109,0.01701816916,
715.9869995,0.01807182096,715.9869995,0.01890340261,
714.9823608,0.01871934347,714.9823608,0.01876720786,
714.0134277,0.01934187673,714.0134277,0.01896654069,
713.0081177,0.01948856562,713.0081177,0.0195530057,
712.0025635,0.02039193548,712.0025635,0.02027548105,
710.9966431,0.02018210664,710.9966431,0.01999853365,
709.9904785,0.02062149346,709.9904785,0.02042574249,
708.9838867,0.0207144469,708.9838867,0.02060754038,
708.0128784,0.02187205851,708.0128784,0.02173901349,
707.0056152,0.02287270501,707.0056152,0.02285319567,
705.9980469,0.02356413193,705.9980469,0.02277317643,
704.9901733,0.02433049306,704.9901733,0.02444804087,
704.0179443,0.0259679351,704.0179443,0.02592976391,
703.0093384,0.02637839131,703.0093384,0.02720827237,
702.0004883,0.02800790407,702.0004883,0.02813459933,
700.991272,0.02865482867,700.991272,0.02908031642,
700.0177612,0.0290429797,700.0177612,0.0292117279,
699.0078735,0.02980812825,699.0078735,0.02948029153,
697.9976196,0.02965818904,697.9976196,0.03003944457,
