10um full,,
Wavelength (nm),Abs,
1099.997192,0.04729941487,
1098.99585,0.01825943962,
1097.993774,0.006597350352,
1096.991089,0.02917432413,
1095.987427,0.004124781583,
1095.012695,0.02250886336,
1094.007568,0.0331682004,
1093.001831,0.01235469338,
1091.995239,0.0094723152,
1090.987793,0.03131395951,
1090.009399,0.003197919577,
1089.000488,-0.009306073189,
1087.990845,0.03169188276,
1087.010132,0.03887859732,
1085.999146,0.01341435127,
1084.987305,0.01156585012,
1084.004395,0.0142075792,
1082.991089,0.02173533849,
1082.006836,0.04526235536,
1080.991943,0.02137277648,
1080.006226,0.03153761849,
1078.989868,-0.002650796901,
1078.002686,0.005666565616,
1077.014893,-0.004952426068,
1075.996338,0.009071574546,
1075.006958,0.01412686426,
1073.987061,0.02457641251,
1072.996338,0.004839401226,
1072.004883,0.03548422456,
1071.012817,0.01889950968,
1069.989868,0.01048186049,
1068.996216,0.03281478584,
1068.002075,0.03055390716,
1067.00708,0.01986375637,
1066.011353,0.01585775241,
1065.015015,0.02459114976,
1063.987793,0.01829623803,
1062.989868,0.01901911199,
1061.991455,0.01568324491,
1060.992188,0.01344193146,
1059.992432,0.01960183121,
1058.991943,0.02537115477,
1057.990601,0.01536771841,
1056.98877,0.02019157074,
1055.986084,0.02139132097,
1055.013184,0.02028128505,
1054.009033,0.02362918109,
1053.004395,0.02403620072,
1051.999023,0.0164183639,
1050.99292,0.01780832931,
1049.986206,0.02355858311,
1049.009155,0.02106879652,
1048.001099,0.01369495783,
1046.99231,0.02656140737,
1046.013306,0.03250286356,
1045.003296,0.02567052655,
1043.99231,0.01672607102,
1043.011475,0.01454755664,
1041.999268,0.01756187156,
1040.98645,0.02479868196,
1040.00354,0.0212258026,
1038.98938,0.01957578026,
1038.005127,0.02209850401,
1036.989502,0.01166967582,
1036.00415,0.01934742369,
1034.987305,0.01269690134,
1034.000366,0.01574118994,
1033.013184,0.01762085035,
1031.994263,0.01832059398,
1031.005493,0.01263442915,
1029.985352,0.01791576296,
1028.995239,0.01371494122,
1028.004761,0.01826400124,
1027.013428,0.01622245647,
1025.990601,0.01828335971,
1024.998047,0.02023984306,
1024.004883,0.01380151138,
1023.011169,0.01748955995,
1021.985657,0.01646621898,
1020.990601,0.01984243095,
1019.994934,0.02268330008,
1018.998474,0.02205923013,
1018.001587,0.02120248042,
1017.003967,0.01891105436,
1016.005737,0.01818917133,
1015.006897,0.01801261678,
1014.007507,0.01946425438,
1013.007324,0.01713364571,
1012.006653,0.01920389384,
1011.00531,0.0197739657,
1010.003357,0.01916563883,
1009.000854,0.0185659416,
1007.997559,0.02033583447,
1006.993774,0.01670280099,
1005.989197,0.01812290773,
1005.015564,0.01916728914,
1004.009949,0.01725699194,
1003.003601,0.01653905958,
1001.996704,0.01813389175,
1000.989197,0.0175112281,
1000.012512,0.02011469752,
999.0037842,0.02011328749,
997.9944458,0.01614351571,
996.9844971,0.01780161448,
996.0054321,0.01720996574,
994.9943237,0.01976884529,
994.0140991,0.01806415617,
993.0015869,0.01926288009,
991.9887085,0.02100054547,
991.0067139,0.0196678061,
989.9925537,0.0210736338,
989.0094604,0.01988624781,
987.9939575,0.01937043108,
987.0096436,0.02071952447,
985.9931641,0.01972731575,
985.0077515,0.02070133202,
983.9898682,0.02033751644,
983.0032959,0.02094314061,
981.9842529,0.01930344477,
980.996582,0.01901848987,
980.0082397,0.01995562762,
978.9874878,0.01974337921,
977.9979858,0.01972146519,
977.0079346,0.01874450408,
975.9853516,0.01769418269,
974.9942017,0.01906692982,
974.0024414,0.01852282695,
973.0101929,0.01852660812,
971.9852905,0.0208143983,
970.9917603,0.01839161292,
969.9978027,0.01981506497,
969.0032349,0.01933175325,
968.0081177,0.02007164434,
967.0124512,0.02125138231,
965.9839478,0.01973666064,
964.9871826,0.0198608581,
963.9898071,0.02199836448,
962.9918213,0.02104667947,
961.9934082,0.02124860883,
960.9941406,0.02161299996,
959.9945679,0.02227765322,
958.9943848,0.02296027355,
957.9937744,0.02038089372,
956.9924316,0.02077382803,
955.9906006,0.02111752145,
954.9881592,0.02169381268,
953.9851685,0.02124822885,
953.0140991,0.02068523318,
952.0101318,0.02235251106,
951.0054932,0.02119924501,
950.0004272,0.02133715712,
948.9946899,0.021028338,
947.9884033,0.02002965286,
947.0142212,0.02021858096,
946.0068359,0.02118271962,
944.9990234,0.02123724669,
943.9905396,0.02065029368,
943.0142212,0.02082371339,
942.0046387,0.02308542281,
940.9946289,0.02292133123,
939.9840698,0.0220727399,
939.0054932,0.02329275385,
937.9938965,0.02359138057,
937.0144653,0.02276829444,
936.0016479,0.023142891,
934.9885864,0.02397489361,
934.0072632,0.02524734847,
932.9929199,0.02315869927,
932.0108643,0.02439677902,
930.9954834,0.02444579452,
930.0123291,0.02200018987,
928.9959717,0.02280285768,
928.0117798,0.02380127832,
926.9943237,0.02292714268,
926.0090942,0.0212529581,
924.9904785,0.02127742581,
924.0043335,0.02132454142,
922.9847412,0.02058454975,
921.9974365,0.02143578418,
921.0097656,0.0216630362,
919.9886475,0.02229681052,
918.9998779,0.02369388379,
918.0106812,0.0230714716,
916.9879761,0.0238462612,
915.9976807,0.02523129992,
915.0067749,0.02495457418,
914.015564,0.02520186268,
912.9907837,0.02481290698,
911.9985962,0.02624021843,
911.0058594,0.02614189684,
910.0125732,0.0248877909,
908.9856567,0.02524540015,
907.9915161,0.02621395886,
906.9967651,0.02454685606,
906.0015259,0.0246416945,
905.0057983,0.02433906123,
904.0095825,0.0247081928,
903.0128784,0.02501906455,
902.0158081,0.02515032142,
900.9847412,0.02410121076,
899.9865723,0.02415897883,
898.987854,0.02435283363,
897.9886475,0.0253478568,
896.9890137,0.02481249534,
895.9889526,0.02565597184,
894.9883423,0.0269452408,
893.9871826,0.02643951587,
892.9855347,0.02639651857,
891.9835205,0.02753472701,
891.0144043,0.02716183662,
890.0113525,0.02738165669,
889.0078735,0.02823351324,
888.0039063,0.02760955878,
886.9994507,0.02880591527,
885.9944458,0.02774712071,
884.9890137,0.0281086117,
884.0167236,0.02706837468,
883.0102539,0.02738783136,
882.003479,0.02806185931,
